Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
AQN,Algonquin Power & Utilities Corp.,12.61,10.05,20.301348136399675,Public Utilities
AQNA,Algonquin Power & Utilities Corp.,27.69,24.97,9.82304080895631,Public Utilities
AQUA,Evoqua Water Technologies Corp.,12.9,9.6,25.581395348837216,Technology
AR,Antero Resources Corporation,4.39,9.39,-113.89521640091118,Energy
ARA,"American Renal Associates Holdings, Inc",6.99,11.52,-64.80686695278969,Health Care
ARC,"ARC Document Solutions, Inc.",1.82,2.05,-12.637362637362623,Consumer Services
ARCH,"Arch Coal, Inc.",77.19,82.99,-7.51392667443969,Energy
ARCO,Arcos Dorados Holdings Inc.,7.57,7.9,-4.359313077939234,Consumer Services
ARD,Ardagh Group S.A.,16.83,11.08,34.16518122400475,Consumer Durables
ARE,"Alexandria Real Estate Equities, Inc.",142.67,115.24,19.226186304058313,Consumer Services
ARES,Ares Management Corporation,26.68,17.78,33.3583208395802,Finance
ARGD,"Argo Group International Holdings, Ltd.",25.7,24.94,2.9571984435797587,Finance
ARGO,"Argo Group International Holdings, Ltd.",65.65,67.25,-2.437166793602428,Finance
ARI,Apollo Commercial Real Estate Finance,18.36,16.66,9.259259259259256,Consumer Services
ARL,"American Realty Investors, Inc.",14.97,12.07,19.372077488309955,Finance
ARLO,"Arlo Technologies, Inc.",3.91,9.98,-155.24296675191815,Consumer Non-Durables
ARMK,Aramark,34.88,28.97,16.943807339449553,Consumer Services
ARNC,Arconic Inc.,23.56,16.86,28.438030560271642,Capital Goods
AROC,"Archrock, Inc.",9.77,7.49,23.33674513817809,Public Utilities
ARR,"ARMOUR Residential REIT, Inc.",17.42,20.5,-17.680826636050504,Consumer Services
ARW,"Arrow Electronics, Inc.",68.86,68.95,-0.13069997095556699,Technology
ASB,Associated Banc-Corp,20.09,19.79,1.4932802389248419,Finance
ASC,Ardmore Shipping Corporation,6.56,4.67,28.810975609756095,Transportation
ASGN,ASGN Incorporated,59.21,54.5,7.954737375443338,Technology
ASH,Ashland Global Holdings Inc.,74.87,70.96,5.2223854681447985,Consumer Durables
ASIX,AdvanSix Inc.,23.23,24.34,-4.778303917348254,Basic Industries
ASPN,"Aspen Aerogels, Inc.",6.2,2.13,65.64516129032259,Consumer Services
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",145.13,150.6,-3.76903465858196,Transportation
ASX,"ASE Technology Holding Co., Ltd.",4.25,3.75,11.76470588235294,Technology
AT,Atlantic Power Corporation,2.3,2.17,5.652173913043474,Energy
ATEN,"A10 Networks, Inc.",7.09,6.24,11.98871650211565,Technology
ATGE,Adtalem Global Education Inc.,44.42,47.32,-6.528590724898691,Consumer Services
ATH,Athene Holding Ltd.,38.93,39.83,-2.3118417672745917,Finance
ATHM,Autohome Inc.,78.97,78.23,0.937064708117,Technology
ATI,Allegheny Technologies Incorporated,19.58,21.77,-11.184882533197147,Basic Industries
ATKR,Atkore International Group Inc.,26.23,19.84,24.36141822340831,Miscellaneous
ATO,Atmos Energy Corporation,106.94,92.72,13.297175986534505,Public Utilities
ATR,"AptarGroup, Inc.",117.08,94.07,19.65322856166724,Consumer Non-Durables
ATTO,Atento S.A.,2.32,4.01,-72.84482758620689,Public Utilities
ATU,Actuant Corporation,20.89,20.99,-0.4786979415988409,Technology
